"Cattle and calves, farm and meat production"
"Frequency: Annual"
"Table: 32-10-0125-01 (formerly CANSIM 003-0026)"
"Release date: 2022-02-28"
"Geography: Canada"
""
""

"Geography","Canada",,,,,,,,,,,,,,,
"Livestock statistics","Total slaughterings, farm and meat production 1",,"Inspected slaughterings of farm production 2",,"Uninspected slaughterings of farm production",,"Estimated output of farm production",,"Live imports for slaughter of farm production",,"Live exports of farm production",,"Average cold dressed weight of meat production 3 4 5",,"Edible offal, meat production 4",
"Livestock","Cattle  (x 1,000)","Calves  (x 1,000)","Cattle  (x 1,000)","Calves  (x 1,000)","Cattle  (x 1,000)","Calves  (x 1,000)","Cattle  (x 1,000)","Calves  (x 1,000)","Cattle  (x 1,000)","Calves  (x 1,000)","Cattle  (x 1,000)","Calves  (x 1,000)","Cattle","Calves","Cattle","Calves"
"Reference period"
,"Head",,,,,,,,,,,,"Kilograms",,"Tonnes",
"2009","3,406.2","299.0","3,380.9","290.9","25.3","8.1","4,390.4","327.2","30.4","23.8","1,014.6","52.0","357.3","117.4","38,959","678"
"2010","3,441.4","294.3","3,421.0","288.5","20.4","5.8","4,444.2","299.6","23.5","32.4","1,026.3","37.7","360.5","119.2","39,538","668"
"2011","3,101.5","292.4","3,081.3","286.8","20.2","5.6","3,711.5","304.2","47.3","26.1","657.3","37.9","356.6","138.5","35,616","1,326"
"2012","2,827.3","283.0","2,807.5","277.6","19.8","5.4","3,558.9","314.3","36.2","19.5","767.8","50.8","362.9","139.1","32,363","1,284"
"2013","2,797.8","268.3","2,777.8","262.7","20.0","5.6","3,682.0","380.1","19.0","28.8","903.2","140.6","366.0","137.7","32,034","1,217"
"2014","2,910.9","254.6","2,890.9","248.9","20.0","5.7","3,863.7","502.4","7.2","37.5","960.0","285.3","367.1","142.3","33,250","1,155"
"2015","2,682.0","230.0","2,662.0","224.3","20.0","5.7","3,327.9","379.5","14.0","22.0","659.9","171.5","379.4","146.6","30,884","1,043"
"2016","2,849.8","241.9","2,829.8","236.3","20.0","5.6","3,526.4","300.3","10.0","20.7","686.6","79.1","390.2","143.8","32,698","1,097"
"2017","3,052.0","242.8","3,032.0","237.2","20.0","5.6","3,597.0","198.0","29.2","111.5","574.2","66.7","382.6","145.2","34,995","1,101"
"2018","3,230.4","234.3","3,210.4","228.7","20.0","5.6","3,764.6","129.7","14.1","187.7","548.3","83.1","381.2","147.6","37,103","1,063"
"2019","3,381.3","219.3","3,361.3","213.7","20.0","5.6","4,026.5","22.6","16.7","258.2","661.9","61.5","387.1","151.0","38,826","995"
"2020","3,319.2","219.9","3,299.1","214.3","20.1","5.6","3,949.1","-13.5","10.7","266.2","640.6","32.8","390.5","155.4","37,957","997"

Symbol legend:
.., not available for a specific reference period




Footnotes:
1,"Federally and provincially inspected slaughter, commercial slaughter and other uninspected slaughter."
2,"Includes commercial slaughter, which may be inspected based on provincial regulations."
3,"Not including edible offal."
4,"Data available as of 1976."
5,"Data for "total cold dressed weight (production)" are available in table 32-10-0053."



"How to cite: Statistics Canada. Table 32-10-0125-01  Cattle and calves, farm and meat production"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210012501
